vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,mastery_points,parent_guids,ratings,,,,,,,,,
A1,group,Assignment 1,Assignment 1 Propositional Logic and Data,A1,,,active,,,,,,,,,,,,
KDA1T1,outcome,Assignment 1 Task 1,Can write a procedure to transform formulae from infix to prefix notation,KDA1T1,average,,active,8,A1,10,Fully Correct,8,Mostly Correct,6,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
KDA1T2,outcome,Assignment 1 Task 2,Can write a procedure to calculate the truth value of formulae,KDA1T2,average,,active,16,A1,20,Fully Correct,16,Mostly Correct,12,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
KDA1T3,outcome,Assignment 1 Task 3,Can write a procedure to calculate a formulae is a tautology,KDA1T3,average,,active,8,A1,10,Fully Correct,8,Mostly Correct,6,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
KDA1T4a,outcome,Assignment 1 Task 4a,Can write a procedure to transform the Knowledge Graphs into N-triple syntax,KDA1T4a,average,,active,8,A1,10,Fully Correct,8,Mostly Correct,6,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
KDA1T4b,outcome,Assignment 1 Task 4b,Can write a procedure to transform Knowledge Graphs with Literals into N-triple syntax,KDA1T4b,average,,active,8,A1,10,Fully Correct,8,Mostly Correct,6,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
KDA1T5,outcome,Assignment 1 Task 5,Can write a procedure to evaluate whether a triple is entailed by a Knowledge Graph,KDA1T5,average,,active,16,A1,20,Fully Correct,16,Mostly Correct,12,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
KDA1T6,outcome,Assignment 1 Task 6,Can write a procedure to evaluate whether one Knowledge Graph is entailed by another Knowledge Graph,KDA1T6,average,,active,16,A1,20,Fully Correct,16,Mostly Correct,12,Good Effort,4,Mostly Incorrect,1,Unfinished or No Indication of Understanding
