vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,mastery_points,parent_guids,ratings,,,,,,,,,
A5,group,Assignment 5,Assignment 5 Integration and Visualization,A5,,,active,,,,,,,,,,,,
KDA5T1,outcome,Assignment 5 Task 1,Can integrate ontologies in Protégé,KDA5T1,average,,active,16,A5,20,Fully correct. Solution suggests a good understanding.,16,Mostly correct or fully correct but with a convoluted solution.,12,Partially correct but in the right direction. A good effort.,8,Mostly incorrect or only partially complete. Stuck without a clear path forward.,2,Mostly incorrect or only partially complete. Answer suggests little effort has been put into it.,1,Answer is not provided or largely incomplete
KDA5T2,outcome,Assignment 5 Task 2,Can motivate the mapping used for integration well,KDA5T2,average,,active,8,A5,10,Fully correct. Solution suggests a good understanding.,8,Mostly correct or fully correct but with a convoluted solution.,6,Partially correct but in the right direction. A good effort.,4,Mostly incorrect or only partially complete. Stuck without a clear path forward.,2,Mostly incorrect or only partially complete. Answer suggests little effort has been put into it.,1,Answer is not provided or largely incomplete
KDA5T3,outcome,Assignment 5 Task 3,Can write a procedure to save the results from a SPARQL query as a dataframe,KDA5T3,average,,active,16,A5,20,Fully correct. Solution suggests a good understanding.,16,Mostly correct or fully correct but with a convoluted solution.,12,Partially correct but in the right direction. A good effort.,8,Mostly incorrect or only partially complete. Stuck without a clear path forward.,2,Mostly incorrect or only partially complete. Answer suggests little effort has been put into it.,1,Answer is not provided or largely incomplete
KDA5T4,outcome,Assignment 5 Task 4,Can write a procedure to produce meaningful figures to accompany SPARQL results,KDA5T4,average,,active,16,A5,20,Fully correct. Solution suggests a good understanding.,16,Mostly correct or fully correct but with a convoluted solution.,12,Partially correct but in the right direction. A good effort.,8,Mostly incorrect or only partially complete. Stuck without a clear path forward.,2,Mostly incorrect or only partially complete. Answer suggests little effort has been put into it.,1,Answer is not provided or largely incomplete
KDA5T5,outcome,Assignment 5 Task 5,Can write a procedure to meaningfully style tabular SPARQL results,KDA5T5,average,,active,8,A5,10,Fully correct. Solution suggests a good understanding.,8,Mostly correct or fully correct but with a convoluted solution.,6,Partially correct but in the right direction. A good effort.,4,Mostly incorrect or only partially complete. Stuck without a clear path forward.,2,Mostly incorrect or only partially complete. Answer suggests little effort has been put into it.,1,Answer is not provided or largely incomplete
KDA5T6,outcome,Assignment 5 Task 6,Can write a procedure to meaningfully visualise SPARQL results on a map,KDA5T6,average,,active,16,A5,20,Fully correct. Solution suggests a good understanding.,16,Mostly correct or fully correct but with a convoluted solution.,12,Partially correct but in the right direction. A good effort.,8,Mostly incorrect or only partially complete. Stuck without a clear path forward.,2,Mostly incorrect or only partially complete. Answer suggests little effort has been put into it.,1,Answer is not provided or largely incomplete
